ASV_ID	TDL_EC_49_12S	TDL_FS_10_12S	TDL_FS_11_12S	TDL_FS_12_12S	TDL_FS_13_12S	TDL_FS_14_12S	TDL_FS_15_12S	TDL_FS_16_12S	TDL_FS_17_12S	TDL_FS_18_12S	TDL_FS_19_12S	TDL_FS_1_12S	TDL_FS_20_12S	TDL_FS_21_12S	TDL_FS_22_12S	TDL_FS_23_12S	TDL_FS_24_12S	TDL_FS_25_12S	TDL_FS_26_12S	TDL_FS_27_12S	TDL_FS_28_12S	TDL_FS_29_12S	TDL_FS_2_12S	TDL_FS_30_12S	TDL_FS_31_12S	TDL_FS_32_12S	TDL_FS_33_12S	TDL_FS_34_12S	TDL_FS_35_12S	TDL_FS_36_12S	TDL_FS_37_12S	TDL_FS_38_12S	TDL_FS_39_12S	TDL_FS_3_12S	TDL_FS_40_12S	TDL_FS_41_12S	TDL_FS_42_12S	TDL_FS_43_12S	TDL_FS_44_12S	TDL_FS_45_12S	TDL_FS_46_12S	TDL_FS_47_12S	TDL_FS_48_12S	TDL_FS_4_12S	TDL_FS_5_12S	TDL_FS_6_12S	TDL_FS_7_12S	TDL_FS_8_12S	TDL_FS_9_12S
9504cf229d2abb64293fc748c424b9f4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
956d5064b9d6c222e19d75e231925e18	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95f961cce4e376499928398de7ffeeef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97444d2388851f1d71afeb95125b4898	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
975b1dbdc7405f6e27bf63893e91e0ed	0	2	2	0	1	110	30	1	0	26	0	0	0	0	0	0	0	27	84	175	36	68	0	120	1431	242	1109	2478	476	682	570	811	87	655	687	504	440	179	1	28	6	41	68	4	0	0	0	9	10
977b02be79d865979e54848db649eaf0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
979f3ff1cd0de5cc8709bce463c39445	487	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	7	31	14	49	36	0	5	70	41	125	34	31	34	31	3	143	0	0	0	0	0	80	5	11	71	163	0	0	0	0	0	0
97d4b89e17101a66cdcb62d3be1ef5d0	114	15	0	2	0	0	0	0	7	0	0	0	0	0	262	0	0	0	0	0	0	0	278	24	0	39	0	0	0	0	0	0	29	0	47	0	0	0	0	0	11	37	0	0	33	0	0	0	0
9924b73b7a7a5f59a0a9860813b07a75	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9a193f7029a33b9c5987ea89fb233370	12	0	38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1367	246	366	6880	3801	0	13599	156	47	38	0	0	3	0	0	1	0	0	0	1	111	45	0	6324	25	2974	0	45	0	0	0	0
9ac6b96a8fec0b3eef1cf71fa803eeb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9b025e95fd8595c8fbad4a0fc9b6e553	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9b1cbc97eff7dc6af2c100d85526140f	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
9bcf18c30519dd344c1745a80495d5be	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	3	0	0	0	0	0	0	0	0
9c8a7b893d0fdaf8c1c89606cfce1c08	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	8	22	0	0	0	0	0	0
9cd2d1e2b07d7fe29922747a79d290ee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9db3dc01519672b43908456a37b27b4d	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9dc70d19a67c006232234c9bcbbab33f	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e218ddde05826daea9943de26124674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
9e675ac5875629aa62e1afaedb00fbb9	0	3	0	0	0	0	0	0	0	0	0	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	7	0	0	0	36	0	0	0	0	0	0	0	3	63	4	0	0	0	0	8	0
9e985443e4cd6cdec8bd0d1d325c53d9	0	3	0	1	3	22	1	0	0	0	56	0	143	0	38	0	0	0	0	0	0	0	18	38	0	0	0	0	0	33	0	0	10	0	0	0	0	0	0	0	0	4	0	0	1	2	0	16	0
9ed3306f1d1dfb81749820128e325abc	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9f2355fd161fec0177a83045e771a239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0
